Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,LCSC,Comment,MF,DESCRIPTION,PRICE,Check_prices,Price,PARTREV,SnapEDA_Link,MP,Availability,AVAILABILITY,Description_1,SUPPLIER_PART_NUMBER,VALUE,SUPPLIER,FOOTPRINT,MANUFACTURER_PART_NUMBER,STANDARD,MANUFACTURER,MAXIMUM_PACKAGE_HEIGHT
"C1, C11, C12, C13, C2, C3, C4, C5, C6",9,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,smt,Unpolarized capacitor,C28233,,,,,,,,,,,,,,,,,,,,
"C10, C14, C7, C8",4,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,smt,Unpolarized capacitor,C28233,,,,,,,,,,,,,,,,,,,,
"C15, C9",2,100uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,smt,Unpolarized capacitor,C28233,,,,,,,,,,,,,,,,,,,,
"J1, J2, J5",3,B3B-XH-A,CONN_B3B-XH-A_JST,,,,tht,,,,,,,,,,,,,,,,,,,,,,
J3,1,B6B-XH-A,JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,,,,tht,,C144397,,,,,,,,,,,,,,,,,,,,
J4,1,B2B-XH-A,CONN_B2B-XH-A_JST,,,,tht,,C158012,,,,,,,,,,,,,,,,,,,,
"JP1, JP2, JP3",3,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,,,,tht,"Jumper, 2-pole, open",,,,,,,,,,,,,,,,,,,,,
"P1, P2, P3",3,282837-2,CUI_TB002-500-02BE,None,,,tht,,,282837-2,TE Connectivity,TERMINAL BLOCK 3.5MM 2POS PCB,0.28 USD,https://www.snapeda.com/parts/282837-2/TE+Connectivity+AMP+Connectors/view-part/?ref=eda,None,G3,https://www.snapeda.com/parts/282837-2/TE+Connectivity+AMP+Connectors/view-part/?ref=snap,282837-2,In Stock,Good,Terminal Block Connector Wire Receptacle 2 5.08 mm 30-16 AWG Green 13.5 A 250 V | TE Connectivity 282837-2,,,,,,,,
"Q1, Q2, Q3",3,DMN3023L-7,SOT96P240X100-3N,None,,,smt,,,,Diodes Incorporated,MOSFET N-CH 30V 6.2A SOT23,,https://www.snapeda.com/parts/DMN3023L7/Diodes+Inc./view-part/?ref=eda,None,,https://www.snapeda.com/parts/DMN3023L7/Diodes+Inc./view-part/?ref=snap,DMN3023L7,In Stock,,N-Channel 30 V 6.2A (Ta) 900mW (Ta) Surface Mount SOT-23-3,DMN3023L-7DICT-ND,DMN3023L-7,Digikey,SOT23,DMN3023L-7,,,
"R1, R3, R5",3,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,None,,,smt,,,8-2176243-2,TE Connectivity,,,https://www.snapeda.com/parts/8-2176243-2/TE+Connectivity+AMP+Connectors/view-part/?ref=eda,None,,https://www.snapeda.com/parts/8-2176243-2/TE+Connectivity+AMP+Connectors/view-part/?ref=snap,8-2176243-2,In Stock,,CRGS0603 Anti-Surge Resistor 5% 5M6,,,,,,,,
"R2, R4, R6",3,470,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,None,,,smt,,,8-2176243-2,TE Connectivity,,,https://www.snapeda.com/parts/8-2176243-2/TE+Connectivity+AMP+Connectors/view-part/?ref=eda,None,,https://www.snapeda.com/parts/8-2176243-2/TE+Connectivity+AMP+Connectors/view-part/?ref=snap,8-2176243-2,In Stock,,CRGS0603 Anti-Surge Resistor 5% 5M6,,,,,,,,
U1,1,BMP581,QFN10_BMP581_BOS,,,,smt,,C5362283,,,,,,,,,,,,,,,,,,,,
"U10, U8",2,XT30UPB-M,XT30UPB-M,None,,,tht,,,,amass,,,https://www.snapeda.com/parts/XT30UPB-M/AMASS/view-part/?ref=eda,None,,https://www.snapeda.com/parts/XT30UPB-M/AMASS/view-part/?ref=snap,XT30UPB-M,Not in stock,,Socket; DC supply; XT30; male; PIN: 2; on PCBs; THT; yellow; 15A; 500V,,,,,,,,
U2,1,DEVKIT_V1_ESP32-WROOM-32,MODULE_DEVKIT_V1_ESP32-WROOM-32,Package,,,tht,,,,Espressif Systems,,,https://www.snapeda.com/parts/DEVKIT%20V1%20ESP32-WROOM-32/Espressif+Systems/view-part/?ref=eda,None,N/A,https://www.snapeda.com/parts/DEVKIT%20V1%20ESP32-WROOM-32/Espressif+Systems/view-part/?ref=snap,DEVKIT V1 ESP32-WROOM-32,Not in stock,,WROOM-32 Development Board ESP32 ESP-32S WiFi Bluetooth Dev Module,,,,,,Manufacturer Recommendations,Espressif Systems,
U3,1,TPS79333-EP,SOT-23-5,,,,smt,"200mA UltraLow-Noise, High-Precision, Fast RF, Low Drop-out Voltage Regulator, Fixed Output 3.3V, SOT-23",C9840,,,,,,,,,,,,,,,,,,,,
U4,1,ICM-20948,QFN24_3X3X0P9_IVS,,,,smt,,C726001,,,,,,,,,,,,,,,,,,,,
U5,1,TPS79318-EP,SOT-23-5,,,,smt,"200mA UltraLow-Noise, High-Precision, Fast RF, Low Drop-out Voltage Regulator, Fixed Output 1.8V, SOT-23",C7102,,,,,,,,,,,,,,,,,,,,
