pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
141.318104,-78.125627,-67.5,top,C1,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uF,smt
188.5,-76.5,180.0,top,C10,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10uF,smt
178.037501,-125.5,0.0,top,C11,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uF,smt
169.175001,-125.825001,135.0,top,C12,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uF,smt
173.500001,-129.0,-135.0,top,C13,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uF,smt
177.5,-69.0,180.0,top,C14,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10uF,smt
177.999999,-80.514999,0.0,top,C15,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100uF,smt
149.577792,-86.156638,45.0,top,C2,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uF,smt
147.916091,-88.649189,135.0,top,C3,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uF,smt
153.117328,-80.382668,45.0,top,C4,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uF,smt
143.487869,-83.89514,-22.5,top,C5,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uF,smt
154.708319,-81.973659,45.0,top,C6,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uF,smt
145.783972,-78.351862,-22.5,top,C7,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10uF,smt
158.358757,-76.502421,-45.0,top,C8,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10uF,smt
185.9625,-88.0,0.0,top,C9,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100uF,smt
146.142393,-95.606859,45.0,top,J1,,,CONN_B3B-XH-A_JST,B3B-XH-A,tht
146.4666,-71.329801,0.0,top,J2,,,CONN_B3B-XH-A_JST,B3B-XH-A,tht
135.0,-88.5,-90.0,top,J3,,,JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,B6B-XH-A,tht
189.0,-71.5,0.0,top,J4,,,CONN_B2B-XH-A_JST,B2B-XH-A,tht
135.0,-77.0,90.0,top,J5,,,CONN_B3B-XH-A_JST,B3B-XH-A,tht
194.4625,-118.5,-90.0,top,P1,,None,CUI_TB002-500-02BE,282837-2,tht
194.5,-107.5,-90.0,top,P2,,None,CUI_TB002-500-02BE,282837-2,tht
194.5,-96.5,-90.0,top,P3,,None,CUI_TB002-500-02BE,282837-2,tht
188.5,-126.55,90.0,top,Q1,,None,SOT96P240X100-3N,DMN3023L-7,smt
187.8,-116.8,90.0,top,Q2,,None,SOT96P240X100-3N,DMN3023L-7,smt
187.54,-107.349999,90.0,top,Q3,,None,SOT96P240X100-3N,DMN3023L-7,smt
185.5,-126.5,90.0,top,R1,,None,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1k,smt
186.5,-129.5,0.0,top,R2,,None,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,470,smt
184.76,-116.850001,90.0,top,R3,,None,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1k,smt
185.76,-119.850001,0.0,top,R4,,None,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,470,smt
184.54,-107.299999,90.0,top,R5,,None,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1k,smt
185.54,-110.299999,0.0,top,R6,,None,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,470,smt
151.046594,-88.046594,45.0,top,U1,,,QFN10_BMP581_BOS,BMP581,smt
167.0,-71.0,0.0,top,U10,,None,XT30UPB-M,XT30UPB-M,tht
159.881083,-106.658405,135.0,top,U2,,Package,MODULE_DEVKIT_V1_ESP32-WROOM-32,DEVKIT_V1_ESP32-WROOM-32,tht
144.5244,-81.131429,-22.5,top,U3,,,SOT-23-5,TPS79333-EP,smt
173.0,-124.5,0.0,top,U4,,,QFN24_3X3X0P9_IVS,ICM-20948,smt
156.476086,-78.438125,-45.0,top,U5,,,SOT-23-5,TPS79318-EP,smt
189.5,-82.5,-90.0,top,U7,,SOT-223 STMicroelectronics,LD1117S50CTR,LD1117S50CTR,smt
156.0,-71.0,0.0,top,U8,,None,XT30UPB-M,XT30UPB-M,tht
179.0,-74.5,-90.0,top,U9,,SOT-223 STMicroelectronics,LD1117S50CTR,LD1117S50CTR,smt
